Part No.;Type;Manufacture;Terrestrial;Flight;TID-Co60;TID-ELDRS;TID-Protons;TID-Electrons;SEU;SET;SEFI;SEL;SEB;SEGR;Dose Rate;DD-Protons;DD-Neutrons;Facilities;Standard;Environment;Shielding
ACDBN120-HF;Schottky Diode;ComChip Technology;Y;;;;;;;P;;;;;;;;;;;
PD3S220LQ-7;Schottky Diode;Diodes Inc.;Y;;;;;;;P;;;;;;;;;;;
S7G2;Microcontroller;Renesas;Y;;;;;;;;P;;;;;;;;;;
SI7454;Power MOSFET;Vishay;Y;;Y;;;;;;;;;P;;;;;;;
SI7489;Power MOSFET;Vishay;Y;;Y;;;;;;;;;;;;;;;;
DMP3099;Power MOSFET;Diodes Inc.;Y;;Y;;;;;;;;;;;;;;;;
LMV321RIYLT;Operational Amplifier;ST Micro;Y;;;;;;;;;P;;;;Y;;;;;
LM2904QPWRG4Q1;Operational Amplifier;Texas Instruments;Y;;;;;;;;;P;;;;Y;;;;;
NCV2902DTBR2G;Operational Amplifier;On Semi;Y;;;;;;;;;P;;;;Y;;;;;
EPC2019;GaN JFET;EPC;Y;;;;;;;;;;;;;;Y;;;;
SGF15E100;GaN FET;SSDI;Y;;;;;;;;;;H;;;;;;;;
MT29F4T08CTHBBM5;3D NAND Flash;Micron;Y;;Y;;;;;;;;;;;;;;;;
AS216MA1G2B-ASC;MRAM;Avalanche;Y;;;;;;;;;H,L;;;;;;;;;
ASV016204;MRAM;Avalanche;Y;;Y;;;;;;;L;;;;;;;;;
MT29F1T08CMHBBJ4;3D NAND Flash;Micron;Y;;;;;;;;H;H;;;;;;;;;
OLS500SB;Optocoupler;Skyworks;Y;;;;;;;;;;;;;;Y;;;;
HCPL-673K;Optocoupler;Broadcom;Y;;;;;;;;;;;;;;Y;;;;
PE99155;DC-DC Converter;Teledyne;Y;;Y;;;;;;;;;;;;;;;;
OMH3075S;Optocoupler;Optek;Y;;;Y;;;;;;;;;;;;;;;
HSYE-117RH;Voltage Regulator;Intersil;Y;;;Y;;;;;;;;;;;;;;;
RH1014MW;Operational Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
RH1021BMH-10;Voltage Reference;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
MSK106;Operational Amplifier;MSKennedy;Y;;;;;;;H;;;;;;;;;;;
RH1814;Operational Amplifier;Analog Devices;Y;;;;;;;H;;;;;;;;;;;
OP484FSZ;Operational Amplifier;Analog Devices;Y;;;;;;;;;;;;;;Y;;;;
AD8065;Operational Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
2N2222;NPN BJT;Semicoa;Y;;;YH;;;;;;;;;;;;;;;
HFB16HY20CC;Diode;Infineon;Y;;;;;;;;;;H;;;;;;;;
SNJ54LVC00AW;Logic;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
AD7226;8-bits 4-Ch DAC;Analog Devices;Y;;Y;;;;;;;H;;;;;;;;;
MAX4595;Analog Switch;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
MAX4651;Analog Switch;Maxim;Y;;Y;;;;;;;;;;;;;;;;
DG409;Analog Multiplexer;Maxim;Y;;Y;;;;;;;;;;;;;;;;
MIC4427;MOSFET Driver;Microchip;Y;;Y;;;;;;;;;;;;;;;;
AD844;Operational Amplifier;Analog Devices;Y;;;;;;;L;;;;;;;;;;;
single (c-Si);Solarcell;;Y;;;;;Y;;;;;;;;;;;;;
dual (AlGaAs//Si);Solarcell;;Y;;;;;Y;;;;;;;;;;;;;
61055-305;Phototransistor;Micropac;Y;;;;;;;;;;;;Y;;;;;;
62087-305;LED;Micropac;Y;;;;;;;;;;;;Y;;;;;;
80SCLQ060SCS;Schottky Diode;International Rectifier;Y;;;;;;;;;;H;;;;;;;;
ACPL-785E;Analog Isolation Amplifier;Avago;Y;;;;;;;H;;H;;;;;;;;;
AD9814;14 Bit CCD/CIS Signal Processor;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
ADG201;Analog Switch;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
DS25BR100;LVDS Buffer;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
JANS2N2222;NPN BJT;Semicoa;Y;;;Y;;;;;;;;;;;;;;;
LP2951;Voltage Regulator;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
MAX4651EUE;Analog Switch;Maxim;Y;;;;;;;;;;;;;;;;;;
MAX6765;Voltage Regulator;Maxim;Y;;;;;;;P;;P;;;;;;;;;
LMV321;Operational Amplifier;ST Micro;Y;;;;;;;P;;P;;;;;;;;;
LM2904;Operational Amplifier;Texas Instruments;Y;;;;;;;P;;P;;;;;;;;;
NCV2902;Operational Amplifier;On Semi;Y;;;;;;;P;;P;;;;;;;;;
INA114;Instrumentation Ampfier;Texas Instruments;Y;;;;;;;P;;P;;;;;;;;;
ADS7961;8-bit ADC;Texas Instruments;Y;;;;;;;P;;;;;;;;;;;
Si7454;Power MOSFET;Vishay;Y;;;;;;;;;;;P;;;;;;;
ACS712;Hall Effect Current Sensor;Allegro;Y;;;;;;;P;;P;;;;;;;;;
ACS714;Hall Effect Current Sensor;Allegro;Y;;;;;;;P;;P;;;;;;;;;
DRV5053;Hall Effect Sensor;Texas Instruments;Y;;;;;;;P;;P;;;;;;;;;
Guide to the Radiation;Effects Data Workshop 2020;;Y;;;;;;;;;;;;;;;;;;
UT81NDQ512G8T;4Tb NAND Flash;CASE;Y;;Y;;;;;;H;H;H;H;;;;;;;
ISL73033SLHM;GaN Power Stage;Renesas;Y;;;Y;;;;H;;H;H;;;;;;;;
Ryzen V1000;GPU;AMD;Y;;;;Y;;;;H,P;H;;;;;;;;;
Xavier AGX;GPU;Nvidia;Y;;;;;;;;;H;;;;;;;;;
TPS7H4001-SP;DC-DC Converter;Texas Instruments;Y;;Y;Y;;;;H;H;H;H;H;Y;;;;;;
LTM4627;DC-DC Converter;Analog Devices;Y;;;Y;;;;H;;H;H;H;;;;;;;
LTM4639;DC-DC Converter;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
LM3478;PWM Controller;Texas Instruments;Y;;Y;Y;;;;P;P;;;;;;;;;;
;14 bit ADC;Rensas;Y;;;;;;;H;H;;;;;;;;;;
ADS8350;16 bit ADC;Texas Instruments;Y;;Y;;;;;;P;P;;;;;;;;;
OPA128;Operational Amplifier;Texas Instruments;Y;;;;;;;H;;;;;;;;;;;
ACPL-785E;Optocoupler;Broadcom;Y;;;;;;;H;;H;;;;;;;;;
JANSR4N49BU;Optocoupler;Micorpac;Y;;;Y;;;;;;;;;Y;;;;;;
JANSR4N49U;Optocoupler;Micropac;Y;;;Y;;;;;;;;;Y;;;;;;
Test Vehicle;iN14 nFin-FET;IMEC;Y;;Y;;;;;;;;;;;;;;;;
Test Vehicles;BJT;;Y;Y;;Y;;;;;;;;;;;;;;;
;2D Beam Scanner;;;;;;;;;;;;;;;;;;;;
TAS2505;Audio Amplifier;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
BSS806NE;Power MOSFET;Infineon;Y;;;;;;;;;;H;H;;;;;;;
NVBLS4D0N15MC;Power MOSFET;OnSemi;Y;;;;;;;;;;H;H;;;;;;;
SFC85N9051;Power SiCFET;SSDI;Y;;;;;;;;;;H;H;;;;;;;
SFF80N20S1;Power SiCFET;SSDI;Y;;;;;;;;;;H;H;;;;;;;
SFF120N10S1;Power SiCFET;SSDI;Y;;;;;;;;;;H;H;;;;;;;
SQP120N06-06;Power SiCFET;Vishay;Y;;;;;;;;;;H;H;;;;;;;
DCM2322;Vicor;DC-DC Converter;Y;;;;;;;;;H;;;;;;;;;
DCM3623;Vicor;DC-DC Converter;Y;;;;;;;;;H;;;;;;;;;
RS12-2412SZ;RECOM;DC-DC Converter;Y;;;;;;;H;;H;;;;;;;;;
ACM-DB-3M;Doodle Labs;Wi-Fi Radio;Y;;;;;;;;H;H;;;;;;;;;
AP650X;Aerohive;Wireless Access Point;Y;;;;;;;;H;H;;;;;;;;;
AWK-4131;MOXA;Wireless Access Point;Y;;;;;;;;;H;;;;;;;;;
C660;Aitech;Network Switch;Y;;;;;;;;H;;;;;;;;;;
MC031CG-SY-FV;Ximea;4K HD Camera;Y;;;;;;;;H;H;;;;;;;;;
Xirrus XH-2-240;Cambium Networks;Wireless Access Point;Y;;;;;;;;H;;;;;;;;;;
1N6521;Diode;VMI;Y;;;Y;;;;;;;;;;;;;;;
1N6531;Diode;VMI;Y;;;Y;;;;;;;;;;;;;;;
2N2222A;NPN BJT;Semicoa, Fairchild;Y;;;Y;;;;;;;;;;;;;;;
2N2907A;PNP BJT;Semicoa;Y;;;Y;;;;;;;;;;;;;;;
2N3501;NPN BJT;Semicoa;Y;;;Y;;;;;;;;;;;;;;;
2N3635;PNP BJT;Micorchip Semicoa;Y;;;Y;;;;;;;;;;;;;;;
2N4392;JFET;Fairchild, Siliconix;Y;;;Y;;;;;;;;;;;;;;;
2N5680;PNP BJT;Semicoa;Y;;;Y;;;;;;;;;;;;;;;
2N5682;NPN BJT;Semicoa;Y;;;Y;;;;;;;;;;;;;;;
54LS02;Logic;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
54LS27;Logic;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
HS-139;Voltage Comparator;Intersil;Y;;;Y;;;;;;;;;;;;;;;
HS-1840;Analog Multiplexer;Intersil;Y;;;Y;;;;;;;;;;;;;;;
JANSF2N5153U3;PNP BJT;Microsemi;Y;;;Y;;;;;;;;;;;;;;;
HS-4424;MOSFET Driver;Intersil;Y;;;Y;;;;;;;;;;;;;;;
HSYE-117RH-Q;Voltage Regulator;Intersil;Y;;;Y;;;;;;;;;;;;;;;
LTC1419;14 bit ADC;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
M3GB2803R305T;DC-DC Converter;Varigon;Y;;;Y;;;;;;;;;;;;;;;
M3GB2815D;DC-DC Converter;Varigon;Y;;;Y;;;;;;;;;;;;;;;
MA4P7006F-1072T;PiN Diode;Macon;Y;;;Y;;;;;;;;;;;;;;;
OMH3075;Hall Effect Sensor;Optek;Y;;;Y;;;;;;;;;;;;;;;
OP11NBC;Operational Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
OP471;Operational Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
PWM5032;PWM Controller;Cobham Aeroflex;Y;;;Y;;;;;;;;;;;;;;;
REF-02NBC;Voltage Reference;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
RH1021BMH-5;Voltage Reference;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
RH3845MW-2-ES;DC-DC Converter;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
SW-06;Analog Switch;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
Custon;GaN HEMT;Analog Devices;Y;;;;;;;;;;N;N;;;;;;;
100SW1502;Optocoupler;SWRI;Y;;Y;;;;;;;;;;;;Y;;;;
66266;Optocoupler;Micropac;Y;;;;;;;;;;;;;Y;;;;;
AD5694RBRUZ;Quad 12 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
AD5933;12 Bit Impedance Converter;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
AD8606ARZ;Operational Amplifier;Analog Devices;Y;;;;;;;H;;H;;;;;;;;;
ASA-24.000MHZ-L-T;Oscillator;Abracon;Y;;;;;;;H;;H;;;;;;;;;
ASDMB-26.000MHZ;Oscillator;Abracon;Y;;;;;;;H;;H;;;;;;;;;
AST3TQ-T-20.000MHZ-28;Oscillator;Abracon;Y;;;;;;;H;;H;;;;;;;;;
DRV8434RGER;Stepper Motor Driver;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
EE-SY1200;Photosensor;Omron;Y;;;;;;;H;;H;;;;;;;;;
EPC2107;GaN Power FET;Efficient Power Conversion;Y;;;;;;;;;H;;;;;;;;;
LMZM23600SILR;DC-DC Converter;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
LT3080EST#WPBF;Low Dropout Voltage Regulator;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
LTC1326IMS8-2.5#PBF;Triple Supply Monitor;Analog Devices;Y;;;;;;;H;;H;;;;;;;;;
LTC4309IGN#PBF;Bus Buffer;Analog Devices;Y;;;;;;;H;;H;;;;;;;;;
MAX3076EESD+;Transceiver;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
OPA340NA/250;Operational Amplifier;Texas Instruments;Y;;;;;;;H;;H;;;;;;;;;
Overo COM;Computer on a Module;gumstix;Y;;;;;;;;H;H;;;;;;;;;
RLC2HDA13BB00C00;Magnetic Encoder;Renishaw;Y;;;;;;;;;H;;;;;;;;;
THN 20-2411WI;DC-DC Converter;TRACO;Y;;;;;;;;;H;;;;;;;;;
RIC7S113;Gate Driver;International Rectifier;Y;;;;;;;H;;;;;;;;;;;
AS7C34096A-12TI;SRAM 512K x 8;Alliance Semiconductor;Y;Y;;;;;;;;H;;;;;;;;;
K6R4008V1D-TI10;SRAM 512K x 8;Samsung;Y;Y;;;;;;;;H;;;;;;;;;
IS61LV5128AL-12;SRAM 512K x 8;ISSI;Y;Y;;;;;;;;H;;;;;;;;;
IS62WV20488BLL;SRAM 512K x 8;ISSI;Y;Y;;;;;;;;H;;;;;;;;;
Test Structures;22nm FD-SOI;;Y;;YX;;;;;;;;;;;;;;;;
LT3007;Low Dropout Voltage Regulator;Analog Devices;Y;;;;;;;H;;H;;;;;Y;;;;
LT8610;DC-DC Converter;Analog Devices;Y;;;;;;;H;;H;;;;;;;;;
ADM1270;Current Limiting Controller;Analog Devices;Y;;;;;;;H;;;;;;;Y;;;;
CDCLVC1310;Buffer LVCMOS;Texas Instruments;Y;;Y;Y;;;;H;;H;;;;;;;;;
66212-301;Optocoupler;Micropac;Y;;Y;;;;;;;;;;;Y;;;;;
FBG20N18;HEMT;EPC Space;Y;;;;;;;;;;H;;;;;;;;
FBG30N04;HEMT;EPC Space;Y;;;;;;;;;;H;;;;;;;;
JANS2N2907AUB;PNP BJT;Semicoa;Y;;;Y;;;;;;;;;;;;;;;
JANS2N5339;NPN BJT;Semicoa;Y;;;Y;;;;;;;;;;;;;;;
JANSR2N7593U3;Power MOSFET;Microchip;Y;;;;;;;;;;H;H;;;;;;;
LIFCL-40-8BG400CE82;SRAM FPGA;Lattice Semiconductor;Y;;Y;;;;;;;;;;;;;;;;
LT3482;DC-DC Converter;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
LTC1604;16 Bit ADC;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
LTC2054;Operational Amplifier;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
MSK130;Differential Amplifier;MS Kennedy;Y;;Y;;;;;;;;;;;;;;;;
OMT1090;Optical Switch;TT Electronics;Y;;;;;;;;;;;;;Y;;;;;
PIC18F4685T;Microcontroller;Microchip;Y;;;;;;;;;H;;;;;;;;;
RM3100;Magnetic Sensor;PNI;Y;;;;;;;;H;H;;;;;;;;;
Si5345;Clock Synthesizer;Silicon Labs;Y;;Y;;;;;;;;;;;;;;;;
SY88422L;Laser Driver;Microchip;Y;;Y;;;;;;;;;;;;;;;;
Edge Accelerator Module;Tensor Processing Unit;Google;Y;;Y;;;;;;;;;;;;;;;;
Neural Compute Stick 2;Vision Processing Unit;Intel;Y;;Y;;;;;;;;;;;;;;;;
BUK7M;Power MOSFET;Nexperia;Y;;Y;;;;;;;;P;P;;;;;;;
TQM300;Power MOSFET;Taiwan Semiconductor Corpora;Y;;Y;;;;;;;;P;P;;;;;;;
LTC3115-1;DC-DC Converter;Analog Devices;Y;;;;;;;;H;H;;;;;;;;;
MAX6765;Voltage Regulator with Supervisor;Analog Devices;Y;;;;;;;H;;H;;;;;;;;;
MAX6773;Voltage Regulator with Supervisor;Analog Devices;Y;;;;;;;H;;H;;;;;;;;;
MPFS250T;Flash FPGA;Microchip;Y;;;;;;;;P;P;;;;;;;;;
LTC3895;DC-DC Converter;Analog Devices;Y;;;;Y;;;P;P;P;;;;;;;;;
ISL8205;DC-DC Converter;Renesas;Y;;;;Y;;;P;P;P;;;;;;;;;
LM21215;DC-DC Converter;Texas Instruments;Y;;;;Y;;;P;P;P;;;;;;;;;
TPS53316;DC-DC Converter;Texas Instruments;Y;;;;Y;;;P;P;P;;;;;;;;;
UT54LVDS454;LVDS Repeater;C AES;Y;;;;;;;H;;H;;H;;;;;;;
ISOS141-SEP;Digitial Isolator;Texas Instruments;Y;;;Y;;;;;;H;;H;;;Y;;;;
TPS7H4010-SEP;DC-DC Converter;Texas Instruments;Y;;;;;;;H;;H;;;;;;;;;
;Heavy Ion Test Facility;Michigan State;;;;;;;;;;;;;;;;Y;;;
LM124;Operational Amplifier;;Y;;;;;;;H;;;;;;;;;;;
FOD817;Optocoupler;OnSemi;Y;;;Y;;;;;;;;;;Y;;;;;
Neural Compute Stick 2;Vision Processing Unit;Intel;Y;;;;Y;;;;P;;;;;;;;;;
Coral Dev Board;Tensor Processing Unit;Google;Y;;;;Y;;;;P;;;;;;;;;;
Guide to the Radiation;Effects Data Workshop 2022;;;;;;;;;;;;;;;;;;;;
LM5180-Q1;DC-DC Converter;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
LM5155;DC-DC Converter;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
MCP1661;DC-DC Converter;Microchip;Y;;Y;;;;;;;;;;;;;;;;
ADP1032;DC-DC Converter;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
LT8303;DC-DC Converter;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
MCP1755;Low Dropout Voltage Regulator;Microchip;Y;;Y;;;;;;;;;;;;;;;;
LT3383;Power Management Integrated Circuit;Analog Devices;Y;;;;;;;;;;;;;;Y;;;;
PF3000;Power Management Integrated Circuit;NXP Semiconductor;Y;;;;;;;;;;;;;;Y;;;;
TPS65023;Power Management Integrated Circuit;Texas Instruments;Y;;;;;;;;;;;;;;Y;;;;
ISL70321SEH;Power Supply Sequencer;Intersil;Y;;Y;;;;;;;;;;;;Y;;;;
Prototype;PWM Controller;;Y;;;;;;;H,L;H,L;;;;;;;;;;
EPC7019;GaN Power FET;Efficient Power Conversion;Y;;Y;Y;;;;;;;H;H;;;Y;;;;
EPC7014;GaN Power FET;Efficient Power Conversion;Y;;Y;Y;;;;;;;H;H;;;Y;;;;
EPC7018;GaN Power FET;Efficient Power Conversion;Y;;Y;Y;;;;;;;H;H;;;Y;;;;
ECP7004;GaN Power FET;Efficient Power Conversion;Y;;Y;Y;;;;;;;H;H;;;Y;;;;
EPC7007;GaN Power FET;Efficient Power Conversion;Y;;Y;Y;;;;;;;H;H;;;Y;;;;
AR54RHC11;Triple AND Gate;Apogee Semiconductor;Y;;Y;;;;;;;;;;;;;;;;
AR54RHC301;Dual 3 Input Majority Voter;Apogee Semiconductor;Y;;;;;;;H;;H;;;;;;;;;
AR54RHC504;5 Channel Level Translator;Apogee Semiconductor;Y;;;;;;;H;;H;;;;;;;;;
Raspberry Pi Zero;Single Board Computer;;Y;;Y;;;;;;H;;;;;;;;;;
Raspberry Pi 3B+;Single Board Computer;;Y;;Y;;;;;;H;;;;;;;;;;
EMD4E001G16G2;MRAM 64Mbx16;Everspin;Y;;Y;;;;;;;;;;;;;;;;
MT29F1T08EEHAF;3D NAND 1Tb;Micron;Y;;Y;;;;;;;;;;;;;;;;
MKE02Z64VQH4;Microcontroller;NXP Semiconductor;Y;;;;;;Alpha;;;;;;;;;;;;
Test Vehicle;22 nm SRAM;Global Foundries;Y;;;;;;e;;;;;;;;;;;;
K4H1G-438;1 Gb SDRAM;Samsung;Y;;;;;;H;;H;H;;;;;;;;;
Test structure;SDRAM;Maxwell;Y;;;;;;H;;H;;;;;;;;;;
MT29F2G08B;Flash;Micron;Y;;;;;;H;;H;;;;;;;;;;
Test structure;Shift Register;IBM;Y;;;;;;H;;;;;;;;;;;;
Test structure;G FLX Logic Chip;LSI Logic;Y;;;;;;H;;;;;;;;;;;;
Test structure;G FLX SRAM;LSI Logic;Y;;;;;;H;;;H;;;;;;;;;
RTAX-S;FPGA;Actel;Y;;;;;;H;;;;;;;;;;;;
RTSXSU;FPGA;Actel;Y;;;;;;H;;;;;;;;;;;;
Eclipse;FPGA;Aeroflex;Y;;;;;;H;;;;;;;;;;;;
72V36110;FIFO;Integrated Device Technologies;Y;;;;;;H;;;H;;;;;;;;;
AD9042;12 bit ADC;Analog Devices;Y;;;;;;H;;H;H;;;;;;;;;
TS8388BVF;8 bit ADC;Atmel;Y;;;;;;H;;;H;;;;;;;;;
APA300-PQ208;FPGA;Actel;Y;;;;;;H;;;;;;;;;;;;
9F2G08UOM;Flash;Samsung;Y;;Y;;;;H;;H;;;;;;;;;;
UT8ER512K32;16Mbit SRAM;Aeroflex;Y;;Y;;;;H;;;H;;;;;;;;;
Test structure, 0.18um;12T SRAM;Jazz/ATK;Y;;Y;;;;H;;;;;;;;;;;;
Test structure, 0.18um;Non-Dice;Jazz/ATK;Y;;Y;;;;H;;;;;;;;;;;;
Test structure, 0.35um;12T SRAM;Jazz/ATK;Y;;Y;;;;H;;;;;;;;;;;;
Test structure, 0.35um;Non-Dice;Jazz/ATK;Y;;Y;;;;H;;;;;;;;;;;;
Test structure, 0.18um;12T SRAM;TSMC/ATK;Y;;Y;;;;H;;;;;;;;;;;;
Test structure, 0.18um;Non-Dice;TSMC/ATK;Y;;Y;;;;H;;;;;;;;;;;;
Test structure, 0.35um;12T SRAM;TSMC/ATK;Y;;Y;;;;H;;;;;;;;;;;;
Test structure, 0.35um;Non-Dice;TSMC/ATK;Y;;Y;;;;H;;;;;;;;;;;;
54ACTQ08;AND Gate;National Semiconductor;Y;;;;;;H;H;;;;;;;;;;;
54ACTQ241;Buffer/Driver;National Semiconductor;Y;;;;;;H;H;;;;;;;;;;;
54ACTQ245;Transceiver;National Semiconductor;Y;;;;;;H;H;;;;;;;;;;;
54ACTQ273;D Flip Flop;National Semiconductor;Y;;;;;;H;H;;;;;;;;;;;
54ACTQ374;D Flip Flop;National Semiconductor;Y;;;;;;H;H;;;;;;;;;;;
54ACQ374;D Flip Flop;National Semiconductor;Y;;;;;;H;H;;;;;;;;;;;
Test structures, 0.11um;SRAM-187/249, Qualification Chip;LSI Logic;Y;;Y;;;;H;H;;H;;;;;;;;;
"Test structures, 0.11um,
modified";SRAM-187/249, Qualification Chip;LSI Logic;Y;;Y;;;;H;H;;H;;;;;;;;;
"Test structures, 0.11um,
modified";SRAM-187/249, Qualification Chip;LSI Logic;Y;;Y;;;;H;H;;H;;;;;;;;;
ADC08D1000WG-QV;8 bit ADC;National Semiconductor;Y;;;;;;H;;;;;;;;;;;;
BU-61582;Advance Communication Engine 1553;Data Devices Corporation;Y;;;;;;H;;;;;;;;;;;;
Test structure;WX23A TSMC 1P8M EPI 130nm;Aeroflex;Y;;Y;;;;H;H;;;;;;;;;;;
AT22V10;Programable Logic Array;Cypress;Y;;;;;;H;;;H;;;;;;;;;
RH1013;Operational Amplifier;Linear Technology;Y;;;;;;H;H;;;;;;;;;;;
MAX997;Voltage Comparator;Maxim;Y;;;;;;H;;;H;;;;;;;;;
RHFL4913;Low Dropout Voltage Regulator;ST Microelectronics;Y;;;;;;H;H;;H;;;;;;;;;
K9F4G08U0A;4 Gbit Flash;Samsung;Y;;;;;;H;;;H;;;;;;;;;
KH41G0X38;1 Gbit DDR SDRAM;Samsung;Y;;;;;;H;;;H;;;;;;;;;
TLK2711;Transceiver;Texas Instruments;Y;;;;;;H;;;H;H;;;;;;;;
K9F4608UOA;4Gbit Flash;Samsung;Y;;Y;;;;H;;H;;;;;;;;;;
UT6325;FPGA;Aeroflex;Y;;;;;;H;;;H;;;;;;;;;
MT47H128M8HQ-3E;1 Gbit DDR2 SDRAM;Micron;Y;;;;;;H;;H;H;;;;;;;;;
R1LV1616RBG;SRAM;Renesas;Y;;;;;;H;;H;H;;;;;;;;;
HY27UF084G2M;4 Gbit Flash;Hynix;Y;;;;;;H;;H;H;;;;;;;;;
MT29F4G08AAAWP;4 Gbit Flash;Micron;Y;;;;;;H;;H;H;;;;;;;;;
MB85R256;FRAM;Fujitsu Semiconductor;Y;;;;;;H;;H;H;;;;;;;;;
FM22L16;FRAM;Ramtron International Corp.;Y;;;;;;H;;H,P;H,P;;;;;;;;;
17302-001;EEPROM;Memtek;Y;;;;;;H;;H;H;;;;;;;;;
Virtex-II;FPGA;Xilinx;Y;;;;;;H;;H;H;;;;;;;;;
Viretx-4;FPGA;Xilinx;Y;;;;;;H;;H;H;;;;;;;;;
CY23FS08;Failsafe;Cypress;Y;;;;;;H;;;H;;;;;;;;;
PPC750;Microprocessor;IBM;Y;;;;;;H;;;;;;;;;;;;
PPC750;Microprocessor;IBM;Y;;;;;;H;;;;;;;;;;;;
XPC750;Microprocessor;Motorola;Y;;;;;;H;;;;;;;;;;;;
XPC750;Microprocessor;Motorola;Y;;;;;;H;;;;;;;;;;;;
PPC7455;Microprocessor;Motorola;Y;;;;;;H;;;;;;;;;;;;
PPC7455;Microprocessor;Motorola;Y;;;;;;H;;;;;;;;;;;;
PPC750FX;Microprocessor;IBM;Y;;;;;;H;;;;;;;;;;;;
PPC750FX;Microprocessor;IBM;Y;;;;;;H;;;;;;;;;;;;
PPC7457;Microprocessor;Motorola;Y;;;;;;H;;;;;;;;;;;;
PPC7447;Microprocessor;Motorola;Y;;;;;;H;;;;;;;;;;;;
PPC7448;Microprocessor;Motorola;Y;;;;;;H;;H;;;;;;;;;;
SPARCTSC695F;Microprocessor;Atmel;Y;;;;;;H;;;H;;;;;;;;;
OMH3040;Hall Effect Sensor;Optek;Y;;;;;;H;;;;;;;;;;;;
AD9858;Direct Digital Synthesizer;Analog Devices;Y;;;;;;H;;;H;;;;;;;;;
MT29F2G08AABWP;Flash;Micron;Y;;;;;;H;;H;;;;;;;;;;
MT29F4G08AAAWP;Flash;Micron;Y;;;;;;H;;H;;;;;;;;;;
HY27UF084G2B;Flash;Hynix;Y;;;;;;H;;H;;;;;;;;;;
;2 Gbit Flash;ST Microelectronics;Y;;;;;;H;;H;;;;;;;;;;
;1 Gbit Flash;Samsung;Y;;;;;;H;;H;;;;;;;;;;
;2 Gbit Flash;Samsung;Y;;;;;;H;;H;;;;;;;;;;
;4 Gbit Flash;Samsung;Y;;;;;;H;;H;;;;;;;;;;
;1 Gbit Flash;Intel;Y;;;;;;H;;H;;;;;;;;;;
S29JL0643;Flash;Spansion;Y;;;;;;H;;H;;;;;;;;;;
S29JL0644;Flash;Spansion;Y;;;;;;H;;H;;;;;;;;;;
K9F2G08UOM;Flash;Samsung;Y;;;;;;H;;;;;;;;;;;;
UT8Q512K8;SRAM;Aeroflex;Y;;;;;;H;;;;;;;;;;;;
UT8CR512K32;SRAM;Aeroflex;Y;;;;;;H;;;H;;;;;;;;;
WMS128k8;SRAM;White Electronics;Y;;;;;;H;;;H;;;;;;;;;
HY57V654020B;SDRAM;Hyundia;Y;;;;;;H;;;H;;;;;;;;;
K4S510432M;SDRAM;Samsung;Y;;;;;;H;;H;;;;;;;;;;
MT48LC128M4A2;SDRAM;Micron;Y;;;;;;H;;H;;;;;;;;;;
MT29F4G08AAAWP;4 Gbit Flash;Micron;Y;;Y;;;;H;;H;;;;;;;;;;
HY27UF084G2M;4 Gbit Flash;Hynix;Y;;Y;;;;H;;H;;;;;;;;;;
K9F4G08U0A;4 Gbit Flash;Samsung;Y;;Y;;;;H;;H;;;;;;;;;;
K9F8G08U0M;8 Gbit Flash;Samsung;Y;;Y;;;;H;;H;;;;;;;;;;
K9F4G08U0A;4 Gbit Flash;Samsung;Y;;Y;;;;H;;H;;;;;;;;;;
