Part No.,Type,Manufacture,Terrestrial,Flight,TID-Co60,TID-ELDRS,TID-Protons,TID-Electrons,Dose Rate,DD-Protons,DD-Neutrons,Facilities,Standard,Environment,Shielding,SEE
HS9-OP470,Operational Amplifier,Intersil,Y,,,Y,,,,,Y,,,,,[]
AD7847,12 bit DAC,Analog Devices,Y,,Y,,,,,,,,,,,[]
HELKI-X,ADC,Tower Jazz,Y,,Y,,,,,,,,,,,[]
K9F8G08UOM,8 Gb SLC NAND Flash,Samsung,Y,,Y,,,,,,,,,,,[]
M379T2863FB3-CF7,1GB DDR2,Samsung,Y,,Y,,,,,,,,,,,[]
MT29F16G08ABABA,16 Gb SLC NAND Flash,Micron,Y,,Y,,,,,,,,,,,[]
53111,Solis State Relay,Micropac,Y,,Y,,,,,Y,,,,,,[]
A3PE1500,FPGA,Microsemi,Y,,Y,,,,,,,,,,,[]
AD8465,Voltage Comparator,Analog Devices,Y,,Y,,,,,,,,,,,[]
,FET Arrray Test Chip,Tower Jazz,Y,,Y,,,,,,,,,,,[]
MAX9202ESD,Voltage Comparator,Maxim,Y,,Y,,,,,,,,,,,[]
NC7SZ74,Flip-Flop,Fairchild Semicinductor,Y,,Y,,,,,,,,,,,[]
OC100HG,Optocoupler,Voltage Multiplier Inc.,Y,,,,,,,Y,,,,,,[]
OMH3075S,Hall-Effect Switch,Optek,Y,,Y,,,,,,,,,,,[]
UC1524A,Pulse Width Modulator,Texas Instruments,Y,,,Y,,,,,,,,,,[]
UC1526/883B,Pulse Width Modulator,Texas Instruments,Y,,,Y,,,,,,,,,,[]
UT54ACS08,Quad AND Gate,Aeroflex,Y,,Y,,,,,,,,,,,[]
AD524,Instrumentation Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
AD648T,Operational Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
AD823AR,Operational Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
AD847SQ,Operational Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
CA308OAS3,Operational Amplifier,Intersil,Y,,Y,,,,,,,,,,,[]
LTC2054,Operational Amplifier,Linear Technology,Y,,Y,,,,,,,,,,,[]
OP15S,Operational Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
OP200,Operational Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
OP462HRU,Operational Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
RH1078MH,Operational Amplifier,Linear Technology,Y,,Y,,,,,,,,,,,[]
RH1078MW,Operational Amplifier,Linear Technology,Y,,Y,,,,,,,,,,,[]
RHF310,Operational Amplifier,ST Microelectronics,Y,,Y,,,,,,,,,,,[]
RHF43B,Operational Amplifier,ST Microelectronics,Y,,Y,,,,,,,,,,,[]
CMF20120D,Power MOSFET,Cree,Y,Y,,,,,,,,,,,,[]
Si7431DP,Power MOSFET,Vishay,Y,Y,,,,,,,,,,,,[]
SUM45N25,Power MOSFET,Vishay,Y,Y,,,,,,,,,,,,[]
2N2222,NPN BJT,Semicoa,Y,Y,,,,,,,,,,,,[]
2N2222AJSR,NPN BJT,Semicoa,Y,,Y,,,,,,,,,,,[]
2N2369,NPN BJT,Semicoa,Y,Y,Y,,,,,,,,,,,[]
2N2857,NPN BJT,Semicoa,Y,Y,Y,,,,,,,,,,,[]
2N2907AJSR,PNP BJT,Semicoa,Y,Y,Y,,,,,,,,,,,[]
2N5153,PNP BJT,Semicoa,Y,Y,Y,,,,,,,,,,,[]
2N5154,NPN BJT,Semicoa,Y,Y,Y,,,,,,,,,,,[]
BFR92A,NPN BJT,NXP,Y,Y,,,,,,,,,,,,[]
BFT92,PNP BJT,NXP,Y,Y,,,,,,,,,,,,[]
JANTXV2N2222AUB,NPN BJT,Microsemi,Y,,Y,,,,,,,,,,,[]
JANTXV2N2907AUB,PNP BJT,Semicoa,Y,,Y,,,,,,,,,,,[]
JANTXV2N3501UB,NPN BJT,Microsemi,Y,,Y,,,,,,,,,,,[]
SFT5015-39TXV,NPN BJT,Solid State Devices,Y,,Y,,,,,,,,,,,[]
SFT5015-4TXV,NPN BJT,Solid State Devices,Y,,Y,,,,,,,,,,,[]
SFT5094-4TXV,PNP BJT,,Y,,Y,,,,,,,,,,,[]
AD586T,Voltage Reference,Analog Devices,Y,Y,,,,,,,,,,,,[]
AD589,Voltage Reference,Analog Devices,Y,Y,,,,,,,,,,,,[]
LM117HRQMLV,Voltage Regulator,Texas Instruments,Y,,Y,,,,,,,,,,,[]
LM136AH2.5QMLV,Voltage Reference,Texas Instruments,Y,,Y,,,,,,,,,,,[]
LM317KTTR,Voltage Regulator,Texas Instruments,Y,,Y,,,,,,,,,,,[]
LTC1877,Voltage Regulator,Linear Technology,Y,Y,,,,,,,,,,,,[]
LT10091IDR,Voltage Reference,Linear Technology,Y,,Y,,,,,,,,,,,[]
LTZ1000,Voltage Reference,Linear Technology,Y,,Y,,,,,,,,,,,[]
RH1009MH,Voltage Reference,Linear Technology,Y,,Y,,,,,,,,,,,[]
RH1009MW,Voltage Reference,Linear Technology,Y,,Y,,,,,,,,,,,[]
RH1021CMW-5,Voltage Reference,Linear Technology,Y,,Y,,,,,,,,,,,[]
RH1021CMW-5,Voltage Reference,Linear Technology,Y,,Y,,,,,,,,,,,[]
RHFL4913ESY332,Voltage Regulator,ST Microelectronics,Y,,Y,,,,,,,,,,,[]
RHFL4913KP332,Voltage Regulator,ST Microelectronics,Y,,Y,,,,,,,,,,,[]
TL750L05CDR,Low Dropout Voltage Regulator,Texas Instruments,Y,,Y,,,,,,,,,,,[]
TL750M05CKTRR,Low Dropout Voltage Regulator,Texas Instruments,Y,,Y,,,,,,,,,,,[]
SUM45N25-58,Power MOSFET,Vishay,Y,,,,,,,,,,,,,['SEB:H']
IRH7250,Power MOSFET,International Rectifier,Y,,,,,,,,,,,,,['SEGR:H']
VRG8662,Low Dropout Voltage Regulator,Aeroflex,Y,,,,,,,,,,,,,['SET:H']
LM6142,Operational Amplifier,Texas Instruments,Y,,,,,,,,,,,,,['SET:H']
AD8465,Voltage Comparator,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
SST211,Analog Switch,Linear Systems,Y,,,,,,,,,,,,,['SET:H']
MSK5059RH,Switching Regulator,MS Kennedy,Y,,,,,,,,,,,,,['SET:L']
MSK5058RH,Switching Regulator,MS Kennedy,Y,,,,,,,,,,,,,['SET:L']
TPS7A4901,Low Dropout Voltage Regulator,Texas Instruments,Y,,,,,,,,,,,,,['SET:H']
LTC1877,Switching Regulator,Linear Technology,Y,,,,,,,,,,,,,['SEL:H']
ADS7881,12 bit ADC,Texas Instruments,Y,,,,,,,,,,,,,['SEL:H']
AD5544ARS,16 bit DAC,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
MT29F4G08ABADAHC,4 Gb SLC NAND Flash,Micron,Y,,,,,,,,,,,,,['SEFI:H']
VA32_HDR2/TA32C,Detector and Readout,IDE,Y,,,,,,,,,,,,,['SEL:H']
VA32HDR14.2/TA32CG3,Detector and Readout,IDE,Y,,,,,,,,,,,,,['SEL:H']
M3G2804R513R5T,DC-DC Converter,International Rectifier,Y,,,,,,,,,,,,,['SEL:H']
MTR28515,DC-DC Converter,Interpoint,Y,,,,,,,,,,,,,"['SEL:H', 'SEB:H', 'SEGR:H']"
CD4066,Analog Switch,Texas Instruments,Y,,,,,,,,,,,,,['SEL:H']
DRS4485,RS485 Transceiver,Aeroflex,Y,,,,,,,,,,,,,['SET:H']
EZ-USB FX2,USB Microcontroller,Cypress,Y,,,,,,,,,,,,,"['SEFI:P', 'SEL:H']"
2512 HUB,USB Hub,Cypress,Y,,,,,,,,,,,,,"['SEL:H,P']"
MIC4424,MOSFET Driver,Micrel,Y,,,,,,,,,,,,,['SEL:H']
LTC1419AIG,14 bit ADC,Linear Technology,Y,,,,,,,,,,,,,['SEL:H']
iCE65L04VF-LCB284C,FPGA,SiliconBlue,Y,,,,,,,,,,,,,['SEL:H']
EP4SGX230KF40,FPGA,Altera,Y,,,,,,,,,,,,,['SEL:H']
BUF634,Buffer,Texas Instruments,Y,,,,,,,,,,,,,['SET:L']
SG1524BJ,Pulse Width Modulator,Microsemi,Y,,,,,,,,,,,,,"['SEL:H', 'SEB:H', 'SEGR:H']"
OP497,Operational Amplifier,Analog Devices,Y,,,,,,,,,,,,,['SET:H']
AMP01,Instrumentation Amplifier,Analog Devices,Y,,,,,,,,,,,,,['SET:L']
LF198,Sample and Hold,Texas Instruments,Y,,,,,,,,,,,,,['SET:L']
OP400,Operational Amplifier,Analog Devices,Y,,,,,,,,,,,,,['SET:L']
OP470A,Operational Amplifier,Analog Devices,Y,,,,,,,,,,,,,['SET:H']
OP484,Operational Amplifier,Analog Devices,Y,,,,,,,,,,,,,['SET:L']
JANTX2N6790,Power MOSFET,International Rectifier,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
IRF5NJ5305,Power MOSFET,International Rectifier,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
2SJ1A03,Power MOSFET,Fuji,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
2SJ1A09,Power MOSFET,Fuji,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
NSD1A01,Power MOSFET,Fuji,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
CGH40180PP,GaN HEMPT,Cree,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
CGH40120F,GaN HEMPT,Cree,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
SFC9550,Power MOSFET,Semicoa,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
IRHM57260SE,Power MOSFET,International Rectifier,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
LM111,Voltage Comparator,National Semiconductor,Y,,,,,,,,,,,,,['SET:H']
LM119,Voltage Comparator,National Semiconductor,Y,,,,,,,,,,,,,['SET:H']
AD588,Voltage Reference,Analog Devices,Y,,,,,,,,,,,,,['SET:H']
RH1009,Voltage Reference,Linear Technology,Y,,,,,,,,,,,,,['SET:H']
IS1009,Voltage Reference,Intersil,Y,,,,,,,,,,,,,['SET:H']
LM117HV,Low Dropout Voltage Regulator,National Semiconductor,Y,,,,,,,,,,,,,['SET:H']
LT1963ES8,Low Dropout Voltage Regulator,Linear Technology,Y,,,,,,,,,,,,,['SET:H']
LT1755IS8,Low Dropout Voltage Regulator,Linear Technology,Y,,,,,,,,,,,,,['SET:H']
MSK5920-1.5,Low Dropout Voltage Regulator,MS Kennedy,Y,,,,,,,,,,,,,['SET:H']
RH1086,Low Dropout Voltage Regulator,Linear Technology,Y,,,,,,,,,,,,,['SET:H']
LM3940,Low Dropout Voltage Regulator,National Semiconductor,Y,,,,,,,,,,,,,['SET:H']
,"Oxigraft Board, CPU, I/O Boards",,Y,,,,,,,,,,,,,['SEFI:P']
AN64561,Ethernet hub abd Gateway (Modified),Goodrich,Y,,,,,,,,,,,,,['SEFI:P']
,Wireless Access Point,Bel-Air 100n,Y,,,,,,,,,,,,,['SEFI:P']
MACH4002,48 port Ethernet Switch,Hirschmann,Y,,,,,,,,,,,,,['SEFI:P']
OMT355,Portable Oxygen Monitor,Vaisala,Y,,,,,,,,,,,,,['SEFI:P']
MSO-19,Oscilloscope,Link Instruments,Y,,,,,,,,,,,,,['SEFI:P']
Model#4277,Oscilloscope,PicoScope,Y,,,,,,,,,,,,,['SEFI:P']
MB294LL/A,iPAD 64GB,Apple,Y,,,,,,,,,,,,,['SEFI:P']
MB294LL/A,iPAD 16GB,Apple,Y,,,,,,,,,,,,,['SEFI:P']
DVR,Flash XDR,Convergent Design,Y,,,,,,,,,,,,,['SEFI:P']
88E1111-B2-BAB-I000,Gigabit Ethernet Phy,Marvell,Y,,,,,,,,,,,,,['SEFI:P']
X4VFX40-11FFG1152I,FPGA,Xilinx,Y,,,,,,,,,,,,,['SEFI:P']
MMBT3904LT1G,NPN BJT,Fairchild Semicinductor,Y,,,,,,,,,,,,,['SEFI:P']
SDG33122203-801,Pulse Width Modulator,Texas Instruments,Y,,,,,,,,,,,,,['SEFI:P']
TE28FS0J8D75A,32 Mb Flash,Numoryx,Y,,,,,,,,,,,,,['SEFI:P']
MT4682M16P-5BIT,512 MB SDRAM,Micron,Y,,,,,,,,,,,,,['SEFI:P']
,Power IC's Laptop,,Y,,,,,,,,,,,,,['SEFI:P']
,Ethernet IC's,,Y,,,,,,,,,,,,,['SEFI:P']
,Graphic Memory,,Y,,,,,,,,,,,,,['SEFI:P']
,Docking Station,,Y,,,,,,,,,,,,,['SEFI:P']
GM965,North Bridge Chipset,,Y,,,,,,,,,,,,,['SEFI:P']
GM965,South Bridge Chipset,,Y,,,,,,,,,,,,,['SEFI:P']
39T2829,Optical Drive,Lenovo,Y,,,,,,,,,,,,,['SEFI:P']
39T2850,Optical Drive,Lenovo,Y,,,,,,,,,,,,,['SEFI:P']
,Video Graphics Processor,,Y,,,,,,,,,,,,,['SEFI:P']
T73C0,Microprocessor,Intel,Y,,,,,,,,,,,,,['SEFI:P']
T78C0,Microprocessor,Intel,Y,,,,,,,,,,,,,['SEFI:P']
T77C0,Microprocessor,Intel,Y,,,,,,,,,,,,,['SEFI:P']
T75C0,Microprocessor,Intel,Y,,,,,,,,,,,,,['SEFI:P']
AD670,8 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
AD7821,8 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
ADC1175,8 bit ADC,Texas Instruments,Y,,Y,,,,,,,,,,,['SEL:H']
SPT7725,8 bit ADC,Fairchild Semicinductor,Y,,Y,,,,,,,,,,,['SEL:H']
HI1276,8 bit ADC,Intersil,Y,,,,,,,,,,,,,['SEL:H']
AD571,10 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
AD9200,10 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
AD574,12 bit ADC,Analog Devices,Y,,Y,Y,,,,,,,,,,['SEL:H']
AD9024,12 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
AD1672,12 bit ADC,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
LTC1409,12 bit ADC,Linear Technology,Y,,Y,,,,,,,,,,,['SEL:H']
AD1674,12 bit ADC,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
AD6640,12 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
AD7854,12 bit ADC,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
AD7858,12 bit ADC,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
AD7888,12 bit ADC,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
AD7472,12 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
AD7476,12 bit ADC,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
AD9223,12 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
LTC1272,12 bit ADC,Linear Technology,Y,,Y,,,,,,,,,,,['SEL:H']
AD1671,12 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
LTC1407,12/14 bit ADC,Linear Technology,Y,,,,,,,,,,,,,['SEL:H']
LTC2297,14 bit ADC,Linear Technology,Y,,,,,,,,,,,,,['SEL:H']
AD9240,14 bit ADC,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
LTC1417,14 bit ADC,Linear Technology,Y,,Y,,,,,,,,,,,['SEL:H']
LTC1419,14 bit ADC,Linear Technology,Y,,Y,,,,,,,,,,,['SEL:H']
ADC14155,14 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
AD9259,14 bit ADC,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
LTC1604,16 bit ADC,Linear Technology,Y,,Y,,,,,,,,,,,['SEL:H']
LTC1609,16 bit ADC,Linear Technology,Y,,,,,,,,,,,,,['SEL:H']
LTC1608,16 bit ADC,Linear Technology,Y,,Y,,,,,,,,,,,['SEL:H']
LTC1864,16 bit ADC,Linear Technology,Y,,,,,,,,,,,,,['SEL:H']
ADS7809,16 bit ADC,Texas Instruments,Y,,,,,,,,,,,,,['SEL:H']
AD977,16 bit ADC,Analog Devices,Y,,,Y,,,,,,,,,,['SEL:H']
AD7664,16 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
MAX195,16 bit ADC,Maxim,Y,,Y,,,,,,,,,,,['SEL:H']
ADS5483,16 bit ADC,Texas Instruments,Y,,,,,,,,,,,,,['SEL:H']
LTC1605,16 bit ADC,Linear Technology,Y,,,,,,,,,,,,,['SEL:H']
AD976,16 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
CS5016,16 bit ADC,Cirrus Logic,Y,,,,,,,,,,,,,['SEL:H']
AD7621,16 bit ADC,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
AD7714,24 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
AD7760,24 bit ADC,Analog Devices,Y,,Y,,,,,,,,,,,['SEL:H']
DA1620W,Temperature Transducer,Dallas Semiconductor,Y,,,,,,,,,,,,,['SEL:H']
DS1624,Temperature Transducer,Dallas Semiconductor,Y,,,,,,,,,,,,,['SEL:H']
IRF640NPBF,Power MOSFET,International Rectifier,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
XCV300-4PQ240I,FPGA,Xilinx,Y,,,,,,,,,,,,,['SEL:H']
2N2222,NPN BJT,Semicoa,Y,,Y,,,Y,,,,,,,,[]
2N2907,PNP BJT,Microsemi,Y,,Y,,,Y,,,,,,,,[]
MCM2760-4M,Oscillator,Q-Tech,Y,,Y,,,Y,,,,,,,,[]
RH1021-5,Voltage Reference,Linear Technology,Y,,Y,,,Y,,,,,,,,[]
LS2805S,DC-DC Converter,International Rectifier,Y,,Y,,,Y,,,,,,,,[]
DS1624,Voltage Reference,Linear Technology,Y,,Y,,,,,,,,,,,[]
FS18B20,Temperature Transducer,Dallas Semiconductor,Y,,YH,,,,,,,,,,,[]
,0.25um 4Mb SRAM,,Y,,Y,,,,,,,,,,,[]
AD7846SQ,16 bit DAC,Analog Devices,Y,,,,,,,,,,,,,"['SET:H', 'SEL:H']"
PE9915X,DC-DC Converter,Peregrine Semiconductor,Y,,Y,,,,,,,,,,,"['SET:H', 'SEFI:H', 'SEL:H', 'SEB:H', 'SEGR:H']"
A2F200-FG484,FPGA,Microsemi,Y,,Y,,,,,,,,,,,[]
TMP36,Temperature Transducer,Analog Devices,Y,,Y,Y,,,,,,,,,,[]
ISL75051SRH,Low Dropout Voltage Regulator,Intersil,Y,,Y,,,,,,,,,,,"['SET:H', 'SEL:H', 'SEB:H']"
ISL70227SRH,Operational Amplifier,Intersil,Y,,,,,,,,Y,,,,,[]
UT16AD40P,16 bit ADC,Aeroflex,Y,,Y,,,,,,,,,,,['SEL:H']
ISL75051SRH,Low Dropout Voltage Regulator,Intersil,Y,,Y,,,,,,,,,,,[]
ISL70417SRH,Operational Amplifier,Intersil,Y,,Y,,,,,,,,,,,[]
2SJ1A03,Power MOSFET,Fuji,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
2SJ1A09,Power MOSFET,Fuji,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
2SK1A01,Power MOSFET,Fuji,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
IRF5NJZ48,Power MOSFET,International Rectifier,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
IRF5NJ530,Power MOSFET,International Rectifier,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
2N7616,Power MOSFET,Semicoa,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
Test Structure,90nm SiGe HBTs,IBM,Y,,,,,,,Y,,,,,,['SET:L']
RH1499,Operational Amplifier,Linear Technology,Y,,Y,Y,,,,,,,,,,[]
HS4424,Power MOSFET Driver,Intersil,Y,,Y,Y,,,,,,,,,,[]
RH1009MW,Voltage Reference,Linear Technology,Y,,Y,Y,,,,,,,,,,[]
RHFL4913,Low Dropout Voltage Regulator,ST Microelectronics,Y,,Y,Y,,,,,,,,,,[]
IS1009,Voltage Reference,Intersil,Y,,Y,Y,,,,,,,,,,[]
2N2222A,NPN BJT,,Y,,Y,Y,,,,,,,,,,[]
2N2907A,PNP BJT,,Y,,Y,Y,,,,,,,,,,[]
2N2369A,NPN BJT,,Y,,Y,Y,,,,,,,,,,[]
2N3700,NPN BJT,,Y,,Y,Y,,,,,,,,,,[]
2N5154,NPN BJT,,Y,,Y,Y,,,,,,,,,,[]
2N5153,PNP BJT,,Y,,Y,Y,,,,,,,,,,[]
2N2857,NPN BJT,,Y,,Y,Y,,,,,,,,,,[]
,SDRAM,Micron,Y,,Y,,,,,,,,,,,[]
AD8212,Current Monitor,Analog Devices,Y,,Y,,,,,,,,,,,[]
A4 3300,Microprocessor,AMD,Y,,Y,,,,,,,,,,,[]
OMH3075S,Hall Effect Sensor,Optek,Y,,Y,,,,,,,,,,,[]
UC1524A,Pulse Width Modulator,Texas Instruments,Y,,Y,,,,,,,,,,,[]
LM139AWRQMLV,Voltage Comparator,Texas Instruments,Y,,,Y,,,,,,,,,,[]
NBSG53AMN,Flip-Flop,ON Semi,Y,,Y,,,,,,,,,,,[]
53124,Solis State Relay,Micropac,Y,,,,,,,Y,,,,,,[]
OP200A,Operational Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
AD847,Operational Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
LM124,Operational Amplifier,Texas Instruments,Y,,Y,Y,,,,,,,,,,[]
LM158AJRQMLV,Operational Amplifier,Texas Instruments,Y,,Y,Y,,,,,,,,,,[]
RH1013MH,Operational Amplifier,Linear Technology,Y,,Y,Y,,,,,,,,,,[]
RH1013MJ8,Operational Amplifier,Linear Technology,Y,,Y,Y,,,,,,,,,,[]
RH1078MH,Operational Amplifier,Linear Technology,Y,,Y,Y,,,,,,,,,,[]
RH1078W,Operational Amplifier,Linear Technology,Y,,Y,Y,,,,,,,,,,[]
RHF310,Operational Amplifier,ST Microelectronics,Y,,Y,Y,,,,,,,,,,[]
RHF43B,Operational Amplifier,ST Microelectronics,Y,,Y,Y,,,,,,,,,,[]
BUY25CS54A,Power MOSFET,Infineon,Y,,Y,,,,,,,,,,,[]
SFT5094-4,PNP BJT,SSDI,Y,,Y,,,,,,,,,,,[]
2N2222,NPN BJT,Microsemi,Y,,,Y,,,,,,,,,,[]
2N2639,NPN BJT,Semicoa,Y,,Y,Y,,,,,,,,,,[]
2N2857,NPN BJT,Semicoa,Y,,Y,Y,,,,,,,,,,[]
2N2907,PNP BJT,Microsemi,Y,,,Y,,,,,,,,,,[]
2N3700,NPN BJT,Semicoa,Y,,,Y,,,,,,,,,,[]
2N2222AJSR,NPN BJT,Semicoa,Y,,,Y,,,,,,,,,,[]
2N2369,NPN BJT,Semicoa,Y,,Y,Y,,,,,,,,,,[]
2N2857,NPN BJT,Semicoa,Y,,Y,Y,,,,,,,,,,[]
2N2907,PNP BJT,Semicoa,Y,,,Y,,,,,,,,,,[]
2N5135,PNP BJT,Semicoa,Y,,Y,Y,,,,,,,,,,[]
2N5154,NPN BJT,Semicoa,Y,,Y,Y,,,,,,,,,,[]
AD581,Voltage Reference,Analog Devices,Y,,,Y,,,,,,,,,,[]
LM117HRQMLV,Voltage Regulator,Texas Instruments,Y,,Y,Y,,,,,,,,,,[]
LM136AH2.5QMLV,Voltage Reference,Texas Instruments,Y,,Y,Y,,,,,,,,,,[]
LM317KTTR,Voltage Regulator,Texas Instruments,Y,,Y,Y,,,,,,,,,,[]
LT10091IDR,Voltage Reference,Linear Technology,Y,,Y,Y,,,,,,,,,,[]
RH1009MH,Voltage Reference,Linear Technology,Y,,Y,Y,,,,,,,,,,[]
RH1009MW,Voltage Reference,Linear Technology,Y,,Y,Y,,,,,,,,,,[]
RH1021CMW-5,Voltage Reference,Linear Technology,Y,,Y,Y,,,,,,,,,,[]
RH1021CMW-5,Voltage Reference,Linear Technology,Y,,Y,Y,,,,,,,,,,[]
RHFL4913KP332,Voltage Regulator,ST Microelectronics,Y,,Y,Y,,,,,,,,,,[]
RHFL4913ESY332,Voltage Regulator,ST Microelectronics,Y,,Y,Y,,,,,,,,,,[]
TL750L05CDR,Low Dropout Voltage Regulator,Texas Instruments,Y,,Y,Y,,,,,,,,,,[]
TL750M05CKTRR,Low Dropout Voltage Regulator,Texas Instruments,Y,,Y,Y,,,,,,,,,,[]
Si7106DN,Power MOSFET,Vishay,Y,,Y,,,,,,,,,,,"['SET:H', 'SEB:H']"
Si7107DN,Power MOSFET,Vishay,Y,,Y,,,,,,,,,,,"['SET:H', 'SEB:H']"
LTC3113,Switching Regulator,Linear Technology,Y,,Y,,,,,,,,,,,"['SET:H', 'SEL:H']"
MAX7109,Switching Regulator,Maxim,Y,,,,,,,,,,,,,"['SET:H', 'SEL:H']"
BQ24650,Switching Regulator,Texas Instruments,Y,,Y,,,,,,Y,,,,,"['SET:H', 'SEL:H']"
MAX4372,Current Monitor,Maxim,Y,,,,,,,,,,,,,"['SET:H', 'SEL:H']"
CAT811,Power Supply Supervisor,ON Semi,Y,,,,,,,,,,,,,"['SET:H', 'SEL:H']"
TLV702475,Low Dropout Voltage Regulator,Texas Instruments,Y,,,,,,,,,,,,,"['SET:H', 'SEL:H']"
PCF8574,I2C Bus Expander,Phillips,Y,,,,,,,,,,,,,"['SET:H', 'SEL:H']"
LPC2148,Microprocessor,NXP Semiconductor,Y,,Y,,,,,,,,,,,"['SEL:H,N']"
STM32F417IGH6,Microprocessor,ST Microelectronics,Y,,Y,,,,,,,,,,,"['SET:P', 'SEL:H,N']"
XC6SLX150,FPGA,Xilinx,Y,,,,,,,,,,,,,['SET:P']
L3G4200D,MEMS Gyro,ST Microelectronics,Y,,Y,,,,,,,,,,,['SET:N']
MSK5978RH,Voltage Regulator,MS Kennedy,Y,,,,,,,,,,,,,['SET:H']
VRG8660,Voltage Regulator,Aeroflex,Y,,,,,,,,,,,,,['SET:H']
VRG8661,Voltage Regulator,Aeroflex,Y,,,,,,,,,,,,,['SET:H']
VRG8662,Voltage Regulator,Aeroflex,Y,,,,,,,,,,,,,['SET:H']
VRG8663,Voltage Regulator,Aeroflex,Y,,,,,,,,,,,,,['SET:H']
VRG8666,Voltage Regulator,Aeroflex,Y,,,,,,,,,,,,,['SET:H']
VRG8684,Voltage Regulator,Aeroflex,Y,,,,,,,,,,,,,['SET:H']
IRUH330,Low Dropout Voltage Regulator,International Rectifier,Y,,,,,,,,,,,,,['SET:H']
MSK5058RH,Low Dropout Voltage Regulator,MS Kennedy,Y,,,,,,,,,,,,,['SET:H']
LMP2012,Operational Amplifier,Texas Instruments,Y,,,,,,,,,,,,,['SET:H']
SMA1031,Amplifier,M/A-COM,Y,,,,,,,,,,,,,['SET:H']
NBSG53AMNG,Flip-Flop,ON Semi,Y,,,,,,,,,,,,,['SEL:H']
54LVTH16244,Buffer,Texas Instruments,Y,,,,,,,,,,,,,['SEL:H']
54LVTH16245,Transceiver,Texas Instruments,Y,,,,,,,,,,,,,['SEL:H']
SA50-28,DC-DC Converter,Microsemi,Y,,,,,,,,,,,,,['SEB:H']
M3G280515T,DC-DC Converter,International Rectifier,Y,,,,,,,,,,,,,['SEB:H']
CMF20120D,Power MOSFET,Cree,Y,,,,,,,,,,,,,['SEGR:H']
CMF10120D,Power MOSFET,Cree,Y,,,,,,,,,,,,,['SEGR:H']
BT1206,BJT,TranSiC,Y,,,,,,,,,,,,,['SEB:H']
SJEP120R100,JFET,SemiSouth,Y,,,,,,,,,,,,,['SEB:H']
